1950,210
1951,255
1952,236
1953,232
1954,220
1955,242
1956,228
1957,240
1958,247
1959,212
1960,256
1961,226
1962,237
1963,232
1964,220
1965,244
1966,241
1967,239
1968,264
1969,211
1970,224
1971,219
1972,221
1973,220
1974,218
1975,240
1976,215
1977,230
1978,236
1979,241
1980,201
1981,249
1982,229
1983,252
1984,235
1985,263
1986,254
1987,228
1988,220
1989,223
1990,247
1991,224
1992,232
1993,221
1994,243
1995,245
1996,204
1997,230
1998,242
1999,258
2000,229
2001,209
2002,261
2003,229
2004,233
2005,244
2006,210
2007,227
2008,201
2009,217
2010,246
2011,236
2012,226
2013,247
2014,244
2015,212
2016,242
2017,217
2018,234
2019,214
2020,231
2021,211
