1950,231
1951,220
1952,246
1953,230
1954,249
1955,229
1956,249
1957,208
1958,242
1959,220
1960,237
1961,225
1962,197
1963,233
1964,245
1965,230
1966,223
1967,236
1968,256
1969,253
1970,224
1971,230
1972,230
1973,229
1974,245
1975,236
1976,222
1977,246
1978,219
1979,226
1980,235
1981,215
1982,219
1983,250
1984,239
1985,233
1986,234
1987,233
1988,225
1989,225
1990,231
1991,241
1992,219
1993,228
1994,227
1995,230
1996,244
1997,270
1998,218
1999,223
2000,227
2001,195
2002,216
2003,260
2004,223
2005,253
2006,194
2007,253
2008,238
2009,229
2010,217
2011,246
2012,188
2013,221
2014,262
2015,231
2016,190
2017,258
2018,234
2019,216
2020,241
2021,206
